,CustomerID,StoreID,ProductID,Category_x,Quantity,UnitPrice_x,TotalPrice,Name,Age,Gender,City,LoyaltyScore,Category_y,UnitPrice_y,StoreLocation
0,CUST0394,STORE07,PROD0180,Toys,1,104.53,104.53,Customer_394,50,Other,Delhi,7.91,Toys,104.53,Hyderabad
1,CUST0394,STORE07,PROD0062,Toys,3,377.56,1132.68,Customer_394,50,Other,Delhi,7.91,Toys,377.56,Hyderabad
2,CUST0450,STORE03,PROD0084,Pharmacy,2,275.06,550.12,Customer_450,39,Male,Pune,0.14,Pharmacy,275.06,Bangalore
3,CUST0450,STORE03,PROD0120,Pharmacy,3,196.38,589.14,Customer_450,39,Male,Pune,0.14,Pharmacy,196.38,Bangalore
4,CUST0450,STORE03,PROD0111,Electronics,3,215.91,647.73,Customer_450,39,Male,Pune,0.14,Electronics,215.91,Bangalore
5,CUST0051,STORE07,PROD0173,Electronics,1,210.54,210.54,Customer_51,67,Female,Bangalore,7.19,Electronics,210.54,Hyderabad
6,CUST0051,STORE07,PROD0109,Household,1,29.09,29.09,Customer_51,67,Female,Bangalore,7.19,Household,29.09,Hyderabad
7,CUST0051,STORE07,PROD0149,Clothing,2,218.39,436.78,Customer_51,67,Female,Bangalore,7.19,Clothing,218.39,Hyderabad
8,CUST0051,STORE07,PROD0018,Grocery,3,63.62,190.86,Customer_51,67,Female,Bangalore,7.19,Grocery,63.62,Hyderabad
9,CUST0051,STORE07,PROD0159,Household,1,329.08,329.08,Customer_51,67,Female,Bangalore,7.19,Household,329.08,Hyderabad
10,CUST0222,STORE09,PROD0030,Clothing,1,436.38,436.38,Customer_222,20,Other,Delhi,3.97,Clothing,436.38,Bangalore
11,CUST0222,STORE09,PROD0145,Electronics,1,71.16,71.16,Customer_222,20,Other,Delhi,3.97,Electronics,71.16,Bangalore
12,CUST0222,STORE09,PROD0138,Grocery,3,301.89,905.67,Customer_222,20,Other,Delhi,3.97,Grocery,301.89,Bangalore
13,CUST0222,STORE09,PROD0043,Household,3,222.35,667.05,Customer_222,20,Other,Delhi,3.97,Household,222.35,Bangalore
14,CUST0074,STORE07,PROD0145,Electronics,2,71.16,142.32,Customer_74,35,Male,Hyderabad,3.48,Electronics,71.16,Hyderabad
15,CUST0074,STORE07,PROD0051,Toys,2,389.36,778.72,Customer_74,35,Male,Hyderabad,3.48,Toys,389.36,Hyderabad
16,CUST0074,STORE07,PROD0174,Grocery,1,444.79,444.79,Customer_74,35,Male,Hyderabad,3.48,Grocery,444.79,Hyderabad
17,CUST0671,STORE08,PROD0089,Grocery,1,119.62,119.62,Customer_671,28,Other,Delhi,9.17,Grocery,119.62,Pune
18,CUST0671,STORE08,PROD0136,Electronics,3,296.31,888.93,Customer_671,28,Other,Delhi,9.17,Electronics,296.31,Pune
19,CUST0671,STORE08,PROD0197,Grocery,3,287.73,863.19,Customer_671,28,Other,Delhi,9.17,Grocery,287.73,Pune
20,CUST0260,STORE09,PROD0117,Household,2,12.24,24.48,Customer_260,46,Other,Hyderabad,3.55,Household,12.24,Bangalore
21,CUST0260,STORE09,PROD0130,Household,2,273.11,546.22,Customer_260,46,Other,Hyderabad,3.55,Household,273.11,Bangalore
22,CUST0260,STORE09,PROD0029,Electronics,3,378.16,1134.48,Customer_260,46,Other,Hyderabad,3.55,Electronics,378.16,Bangalore
23,CUST0092,STORE01,PROD0147,Toys,1,228.13,228.13,Customer_92,64,Female,Hyderabad,8.37,Toys,228.13,Hyderabad
24,CUST0092,STORE01,PROD0161,Electronics,3,36.25,108.75,Customer_92,64,Female,Hyderabad,8.37,Electronics,36.25,Hyderabad
25,CUST0092,STORE01,PROD0076,Clothing,3,12.68,38.04,Customer_92,64,Female,Hyderabad,8.37,Clothing,12.68,Hyderabad
26,CUST0092,STORE01,PROD0085,Clothing,1,490.95,490.95,Customer_92,64,Female,Hyderabad,8.37,Clothing,490.95,Hyderabad
27,CUST0225,STORE06,PROD0163,Toys,1,411.72,411.72,Customer_225,66,Other,Mumbai,1.14,Toys,411.72,Bangalore
28,CUST0225,STORE06,PROD0007,Grocery,2,268.29,536.58,Customer_225,66,Other,Mumbai,1.14,Grocery,268.29,Bangalore
29,CUST0225,STORE06,PROD0156,Grocery,2,413.83,827.66,Customer_225,66,Other,Mumbai,1.14,Grocery,413.83,Bangalore
30,CUST0797,STORE06,PROD0026,Electronics,2,288.1,576.2,Customer_797,64,Male,Pune,3.32,Electronics,288.1,Bangalore
31,CUST0383,STORE07,PROD0151,Household,2,268.96,537.92,Customer_383,41,Male,Delhi,3.95,Household,268.96,Hyderabad
32,CUST0383,STORE07,PROD0196,Pharmacy,1,235.58,235.58,Customer_383,41,Male,Delhi,3.95,Pharmacy,235.58,Hyderabad
33,CUST0383,STORE07,PROD0046,Grocery,2,61.57,123.14,Customer_383,41,Male,Delhi,3.95,Grocery,61.57,Hyderabad
34,CUST0383,STORE07,PROD0076,Clothing,3,12.68,38.04,Customer_383,41,Male,Delhi,3.95,Clothing,12.68,Hyderabad
35,CUST0370,STORE03,PROD0123,Grocery,1,198.42,198.42,Customer_370,21,Other,Pune,3.47,Grocery,198.42,Bangalore
36,CUST0370,STORE03,PROD0008,Grocery,2,395.77,791.54,Customer_370,21,Other,Pune,3.47,Grocery,395.77,Bangalore
37,CUST0370,STORE03,PROD0006,Household,3,432.17,1296.51,Customer_370,21,Other,Pune,3.47,Household,432.17,Bangalore
38,CUST0436,STORE00,PROD0168,Toys,3,375.18,1125.54,Customer_436,33,Female,Mumbai,7.23,Toys,375.18,Bangalore
39,CUST0436,STORE00,PROD0140,Pharmacy,3,434.98,1304.94,Customer_436,33,Female,Mumbai,7.23,Pharmacy,434.98,Bangalore
40,CUST0521,STORE07,PROD0102,Clothing,1,192.72,192.72,Customer_521,22,Male,Hyderabad,0.0,Clothing,192.72,Hyderabad
41,CUST0521,STORE07,PROD0040,Clothing,3,349.83,1049.49,Customer_521,22,Male,Hyderabad,0.0,Clothing,349.83,Hyderabad
42,CUST0521,STORE07,PROD0082,Grocery,1,372.83,372.83,Customer_521,22,Male,Hyderabad,0.0,Grocery,372.83,Hyderabad
43,CUST0521,STORE07,PROD0019,Toys,3,109.89,329.67,Customer_521,22,Male,Hyderabad,0.0,Toys,109.89,Hyderabad
44,CUST0521,STORE07,PROD0151,Household,3,268.96,806.88,Customer_521,22,Male,Hyderabad,0.0,Household,268.96,Hyderabad
45,CUST0290,STORE02,PROD0102,Clothing,1,192.72,192.72,Customer_290,43,Female,Pune,4.3,Clothing,192.72,Bangalore
46,CUST0068,STORE09,PROD0029,Electronics,2,378.16,756.32,Customer_68,21,Female,Hyderabad,1.74,Electronics,378.16,Bangalore
47,CUST0068,STORE09,PROD0008,Grocery,3,395.77,1187.31,Customer_68,21,Female,Hyderabad,1.74,Grocery,395.77,Bangalore
48,CUST0964,STORE05,PROD0100,Grocery,3,178.22,534.66,Customer_964,64,Male,Mumbai,3.47,Grocery,178.22,Bangalore
49,CUST0524,STORE01,PROD0167,Grocery,1,387.96,387.96,Customer_524,43,Other,Pune,2.76,Grocery,387.96,Hyderabad
50,CUST0524,STORE01,PROD0162,Grocery,3,389.51,1168.53,Customer_524,43,Other,Pune,2.76,Grocery,389.51,Hyderabad
51,CUST0524,STORE01,PROD0124,Toys,2,83.55,167.1,Customer_524,43,Other,Pune,2.76,Toys,83.55,Hyderabad
52,CUST0524,STORE01,PROD0099,Toys,2,27.43,54.86,Customer_524,43,Other,Pune,2.76,Toys,27.43,Hyderabad
53,CUST0149,STORE01,PROD0013,Household,3,367.54,1102.62,Customer_149,44,Female,Mumbai,9.03,Household,367.54,Hyderabad
54,CUST0149,STORE01,PROD0086,Pharmacy,1,227.99,227.99,Customer_149,44,Female,Mumbai,9.03,Pharmacy,227.99,Hyderabad
55,CUST0133,STORE01,PROD0043,Household,2,222.35,444.7,Customer_133,61,Other,Mumbai,8.29,Household,222.35,Hyderabad
56,CUST0133,STORE01,PROD0062,Toys,2,377.56,755.12,Customer_133,61,Other,Mumbai,8.29,Toys,377.56,Hyderabad
57,CUST0133,STORE01,PROD0186,Pharmacy,2,375.26,750.52,Customer_133,61,Other,Mumbai,8.29,Pharmacy,375.26,Hyderabad
58,CUST0133,STORE01,PROD0031,Household,2,341.09,682.18,Customer_133,61,Other,Mumbai,8.29,Household,341.09,Hyderabad
59,CUST0133,STORE01,PROD0096,Household,1,354.78,354.78,Customer_133,61,Other,Mumbai,8.29,Household,354.78,Hyderabad
